#,Date,Indian Port,CTH,Description,Quantity,UQC,Unit USD,Total Value USD,Orign Port
1,1-Jan-2018,nhava sheva sea,33069000,"""""""colgate"""" plax mouthwash-peppermint  250 ml [12 bottles/carton - stock no.1525529] [4642 ctns= 55704 pcs]""",14483.04,KGS,1.16,16800.3264,thailand
2,2-Jan-18,nhava sheva sea,33069000,"""""""colgate"""" plax mouthwash - peppermint  500 ml [12 bottles/carton - stock no.1525528] [1326 ctns= 15912  pcs]""",8274.24,KGS,0.93,7695.0432,thailand
3,3-Jan-18,nhava sheva sea,33069000,"""""""colgate"""" plax mouthwash-peppermint  250 ml [12 bottles/carton - stock no.1525529] [4669 ctns= 56028 pcs]""",14567.28,KGS,1.16,16898.0448,thailand
4,4-Jan-18,nhava sheva sea,33069000,"""""""colgate"""" plax mouthwash-peppermint  250 ml [12 bottles/carton - stock no.1525529] [444 ctns= 5328 pcs]""",1385.28,KGS,1.16,1606.9248,thailand
5,5-Jan-18,delhi air cargo,33049990,sea spa glow nastural exfoliator with peppermint oil (packed in tumbler)(1 tumbler = 1000 ml) (for  beauty and make up p,48,KGS,40.18,1928.64,united states
6,6-Jan-2018,nhava sheva sea,33021090,peppermint splash flavor,0.5,KGS,52.49,26.245,switzerland
7,7-Jan-2018,nhava sheva sea,33021090,peppermint splash flavor,100,KGS,52.47,5247,switzerland
8,8-Jan-2018,delhi air cargo,17049090,mentos gum white peppermint count 1x20x40 28048 (sweets) (goods not for sale at local market),20,KGS,12.52,250.4,belgium
9,9-Jan-18,delhi air cargo,17049090,mentos gum peppermint 40 count 1x20x40 28045 (sweets) (goodsnot for sale at local market),20,KGS,12.52,250.4,belgium
10,10-Jan-18,bangalore,33029090,flv snow a drum 55 gal  peppermint oil (snow a) (batch no: l150817072),181,KGS,55.46,10038.26,united states
11,11-Jan-18,chennai air cargo,33021010,optamint peppermint flavour,50,KGS,34.08,1704,germany
12,12-Jan-18,chennai sea,33012400,peppermint oil chin t'less(for use in oral care for tooth paste),50,KGS,30.84,1542,united kingdom
13,13-Jan-18,patparganj,22082092,joseph cartron peppermint vert 21% [6x700ml]  [liqueur],24,KGS,2.54,60.96,france
14,14-Jan-18,patparganj,22082092,joseph cartron peppermint blanc 24% [6x700ml] [liqueur],24,KGS,2.54,60.96,france
15,15-Jan-18,mundra,17049090,york peppermint 12x3.0oz,10,KGS,4.96,49.6,united states
16,16-Jan-18,nhava sheva sea,21039090,snow ice powder-peppermint(1kg),1,KGS,7.01,7.01,taiwan
17,17-Jan-18,nhava sheva sea,33021090,peppermint flavour powder (0473080) (synthetic flavouring essence),200,KGS,5.70,1140,germany
18,18-Jan-18,nhava sheva sea,33021090,novamint fresh peppermint flavor,0.5,KGS,53.50,26.75,switzerland
19,19-Jan-18,nhava sheva sea,33021090,novamint fresh peppermint flavor,25,KGS,53.50,1337.5,switzerland
20,20-Jan-18,chennai sea,21069099,wrigley's doublemint sugarfree peppermint,662,KGS,27.57,18251.34,china
